"Activity","Description ","Innovation Stream","External/Internal Activity","Strategic Objectives","Academic Lead","PS Lead","Support","Status","Comments","KPI","Method of Measurement"
"Review & Refine Ethics Review for EFI Education","<p><div class=""ExternalClassC6BC84E8C2624A109D221E995895B6CA"">The initial process for a relatively quick solution to a growing challenge. This work will ensure the process is fit for purpose and can scale/be sustained within EFI for the long term. </div></p>","Adoption & Entrepreneurship","Internal Process","[""E1"",""E5""]",,"Fraser Macdonald","Iwona Soppa","Underway",,,
"Lived Experience workshop method","<p><div class=""ExternalClass3F5258D3B0334D2DA005F304D6A56161""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;""><div style=""margin-top&#58;14.6667px;margin-bottom&#58;14.6667px;"">This project will establish a repeatable method for capturing lived experience through a novel zine format. The idea for this work is to develop process that can be built on, and run, across future sessions to establish a LT picture of perceptions.</div></div></div></p>","Adoption & Entrepreneurship","Internal Process","[""I1"",""I2"",""C4""]",,"Fraser Macdonald","Urška Ozimek","Complete",,,
"Develop Ownership of Data Sharing Agreement support","<p><div class=""ExternalClassA0CAA98FB8C54BE396DE98E36E66D816""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;""><br></div>Taking ownership of the support offering for navigating Data Sharing Agreements. Including developing a process, key contacts, and understanding of suitable approaches. </div></p>","Adoption & Entrepreneurship","Internal Process","[""O2"",""O3"",""I1""]",,"Fraser Macdonald","Iwona Soppa","Early discussions",,,
"Cross-Ward Activities","<p><div class=""ExternalClassF47117ACCDBC46B5A19C30C44AFF542D""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;""><br><span style=""font-size&#58;14px;"">Working to develop cross ward interactions through community building activities. 3 things every three months.</span></div></div></p>","Adoption & Entrepreneurship","Internal Process","[""C3"",""I1""]",,"Fraser Macdonald","Iwona Soppa;Urška Ozimek;Maddy Burgoyne","Underway",,,
"Map RI Support systems & pathways across EFI","<p><div class=""ExternalClassD5DE33D21E4B4509BEE778F87526213D""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;""><br></div>Using the DCC RI Framework as a base structure (Legal, Engagement, Ethics, Safeguarding), the work will look to map out the existing pathways and support structures across the verticals (education, Research &amp; Innovation) to establish where there are gaps, the time restrictions, and decision making routes that exist. This work will link into the other effort across Education ethics review and data governance. </div></p>","Adoption & Entrepreneurship","Internal Process","[""O3"",""I1"",""O2""]",,"Fraser Macdonald","Iwona Soppa","Early discussions",,,
"Testing  Partner/Makerspace interaction to develop process","<p><div class=""ExternalClass6FA007BBC43A4750A4B601333CF39538""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;""><br></div>Regenerative Futures fund are planning to work with Makerspace. As this is the first EFI partner/makerspace interaction, Urska will be observing the relationship to identify challenges with the idea of developing a proposal for a more systematic flow. </div></p>","Adoption & Entrepreneurship","Internal Process","[""I1"",""I2"",""I3""]",,"Fraser Macdonald","Urška Ozimek","Paper awaiting approval",,,
"Designing Prevention Hub Collaborative Finance Process","<p></p>","Adoption & Entrepreneurship","Internal Process","[""I1""]",,"Fraser Macdonald","Urška Ozimek","Underway",,,
"Data in the Wild","<p><div class=""ExternalClass88C89088EA4A45A0ADB06E2B797227F9""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">Pilot of non-credited data skills offer for EFI students</div></div></p>","Talent & Skills","Internal Process","[""E4"",""C3""]","Neneh Rowa-Dewar","Lucia Michielin","Lisa Otty","Underway","To be connected to partner projects in subsequent years",,
"RTS Development","<p><div class=""ExternalClassA722E45457214F9C936ECDBB76C684A5""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">Develop RTS service for greater visibility across schools and research community</div></div></p>","Talent & Skills","Internal Process","[""R1"",""R5""]",,"Lisa Otty","Ed MacKenzie","Early discussions",,,
"4CAT","<p><div class=""ExternalClassA06A2449F2784DCCAB520A7AF7EE96D2""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">Provide instance of 4Cat for teaching and research</div></div></p>","Talent & Skills","Internal Process","[""R1"",""E5"",""I1""]","Marion Thain","Lisa Otty",,"on hold","technical service provision established - legalities of data scraping and sharing require ethics process discussion",,
"Performing Blackness","<p><div class=""ExternalClass7EA2681A0B2049F1BAB860DCC7271D90""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">Research project - RT buyout&#160;</div></div></p>","Talent & Skills","Internal Process","[""R1""]","Rochelle Rowe","Lisa Otty","Ed MacKenzie","Underway",,,
"Training Programme","<p><div class=""ExternalClassD3A5FEB452384993BCD9BEC7BE2CA59F""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">Delivery of Data-led Methods Training Programme</div></div></p>","Talent & Skills","Internal Process","[""E1"",""E4"",""E5"",""R1"",""R3""]",,"Lucia Michielin",,"service",,,
"HCA teaching circle","<p></p>","Talent & Skills","Internal Process",,,"Lucia Michielin",,,,,
"CDCS Prizes","<p></p>","Talent & Skills","Internal Process",,,"Lisa Otty",,"Underway",,,
"Funding and Bursaries","<p></p>","Talent & Skills","Internal Process",,,"Lisa Otty",,"Underway",,,
"DDI Fellows","<p></p>","Talent & Skills","Internal Process",,,"Lisa Otty",,,,,
"Preincubation programmes","<p><div class=""ExternalClass66731D04FD54468F8B12F7804B5A2E8E""><div style=""background-color&#58;transparent;""><font color=""#000000"" face=""Aptos, Aptos_EmbeddedFont, Aptos_MSFontService, sans-serif""><span style=""font-size&#58;16px;font-family&#58;calibri;"">Design preincubation activities to connect schools into EFI</span></font></div></div></p>","Talent & Skills","Internal Process","[""I2"",""I4"",""C3"",""R1""]","Lynne Craig","Lisa Otty",,"Early discussions",,,
"EFI Visualization Meetup","Bimonthly event for Visualization community<br>","Talent & Skills","Internal Process",,"Uta Hinrichs","Tomas Vancisin","Dorsey Kaufmann;Lisa Otty","Paper awaiting approval",,,
"EFI Ecosystem Visualization","Web-based visualization of EFI ecosystem and collaboration.","Talent & Skills","Internal Process",,"Laura Dougan","Tomas Vancisin","Katrina Macapagal","Early discussions","https://tvancisin.github.io/efi_ecosystem/",,
